時間,力行里,三德里,大山里,大仁里,大和里,大港里,大道里,大豐里,小康里,中樓里,五福里,仁愛里,元寶里,公園里,六甲里,文元里,文成里,正風里,正覺里,永祥里,玉皇里,光武里,安民里,成功里,成德里,和順里,延平里,東興里,長榮里,長德里,重興里,振興里,國姓里,國興里,勝安里,華興里,開元里,新勝里,裕民里,實踐里,賢北里,興北里,興南里,總計
10月22日,,,,,,,,,,,,,27.9391,0,,,,,,,,,,,,0,,,,,198,,,,,,,,,,,,,225.9391
10月23日,,,,,,,,,,,,,,,,,,,,,,,0,,568.42479,,,,,,,,,,,,,0,,,,,,568.42479
10月24日,,,,,,,,,,,,78.25986,,,,,,,,,,,,,,,,,,,0,,,,,,42.99704,,,,,,,121.2569
10月25日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月26日,,,,,,99.95022,,,,,,,,,,259.2,,,,,,,,,,,657.67261,,,,,,,,,,,,,,,,,1016.82283
10月27日,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10月28日,,,,,,,,,,,,,,,,278.69184,,0,,,,,,,0,0,,,,229.99678,,,,0,,,,,0,,,,,508.68862
10月29日,,,,,,,,0,,,,,,,,,,,,,,,,,503.77617,,,0,,,176.7843,0,,,,,,0,,,0,,,680.56047
10月30日,142.66,,,,,,,,,,,,,,218.4,0,,,,,,,,643.94018,,,,,,,,,,,,,,,,,0,132.95295,,1137.95313
10月31日,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0
11月1日,,,,98.4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4
11月2日,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
11月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0
11月4日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月5日,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,0
11月6日,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,,79.375,,,,,79.375
11月7日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月8日,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,,,,,,0,,,,,,0,,,0
